date,geography,geography code,bicycle_male_16to19,bicycle_male_20to21,bicycle_male_22to24,bicycle_male_25to29,bicycle_male_30to34,bicycle_male_35to39,bicycle_male_40to44,bicycle_male_45to49,bicycle_male_50to54,bicycle_male_55to59,bicycle_male_60to64,bicycle_male_65+,bicycle_female_16to19,bicycle_female_20to21,bicycle_female_22to24,bicycle_female_25to29,bicycle_female_30to34,bicycle_female_35to39,bicycle_female_40to44,bicycle_female_45to49,bicycle_female_50to54,bicycle_female_55to59,bicycle_female_60to64,bicycle_female_65+
2011,Bexley,E41000295,32,29,38,106,128,172,183,182,118,74,25,11,5,2,13,15,13,26,28,37,12,13,10,8
2011,Brent,E41000296,25,37,157,480,602,481,347,265,162,104,71,16,11,12,55,206,226,152,124,62,56,35,14,6
2011,Bromley,E41000297,45,24,61,166,263,289,321,282,163,95,50,24,5,2,12,42,52,54,79,72,47,33,9,7
2011,Camden,E41000298,58,73,230,894,925,770,565,464,319,171,132,79,17,25,108,417,474,282,262,186,144,88,32,37
2011,Croydon,E41000299,52,40,93,192,266,289,238,252,166,86,34,20,9,2,20,42,68,54,59,75,35,18,9,4
2011,Ealing,E41000300,44,40,160,568,602,618,466,413,285,157,91,50,14,20,55,217,206,173,155,177,128,81,35,21
2011,Enfield,E41000301,49,44,80,198,203,221,240,226,133,125,56,22,9,5,19,33,47,40,41,43,38,23,5,11
2011,Greenwich,E41000302,34,34,82,291,430,445,294,220,140,85,43,11,3,17,30,89,104,99,76,54,43,33,8,11
2011,Hackney,E41000303,39,89,572,2784,2763,1592,1029,678,370,207,95,63,15,56,408,1796,1677,862,551,377,196,126,54,12
2011,Hammersmith and Fulham,E41000304,43,68,319,1020,1014,790,499,368,228,116,89,52,23,50,172,620,584,285,259,206,136,96,49,36
2011,Haringey,E41000305,24,36,166,687,986,769,593,493,254,131,64,27,1,20,79,316,382,305,207,182,112,60,21,7
2011,Harrow,E41000306,15,23,26,90,107,84,101,68,64,65,29,13,4,2,10,24,23,20,25,26,18,19,11,7
2011,Havering,E41000307,40,23,36,76,93,107,106,107,85,58,40,20,4,6,10,11,18,32,39,39,25,12,12,3
2011,Hillingdon,E41000308,56,49,83,179,197,214,185,205,143,95,59,32,10,10,15,40,54,38,48,55,45,47,21,21
2011,Hounslow,E41000309,78,82,165,436,489,495,358,361,241,172,93,36,11,22,58,155,193,139,136,127,103,68,20,18
2011,Islington,E41000310,30,62,331,1535,1610,981,795,519,321,182,108,48,16,30,211,844,791,410,322,267,191,102,46,23
2011,Kensington and Chelsea,E41000311,21,30,99,421,550,398,296,302,195,121,66,43,5,7,58,260,222,175,128,133,73,57,35,17
2011,Kingston upon Thames,E41000312,78,59,131,264,315,394,330,271,186,115,59,31,26,34,43,121,143,127,149,150,131,74,46,15
2011,Lambeth,E41000313,47,81,573,2161,2033,1499,990,758,413,229,91,43,15,41,325,1109,933,533,380,316,188,112,49,26
2011,Lewisham,E41000314,40,57,188,526,941,714,528,408,221,121,61,31,5,33,107,233,287,222,130,123,115,62,13,12
2011,Merton,E41000315,38,29,127,373,504,411,397,303,173,115,60,40,10,10,38,129,160,108,123,112,80,48,21,16
2011,Newham,E41000316,21,37,118,345,303,283,204,177,105,60,34,11,8,14,41,83,89,57,61,52,35,20,6,4
